id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
30965503,Home in Cambridge · ★4.49 · 1 bedroom · 1 bed · 2 shared baths,229497500,Yudong,,East Cambridge,42.37054204654952,-71.0813970691824,Private room,42,30,71,2023-10-31,1.16,23,269,5,
31085634,Home in Cambridge · ★4.34 · 1 bedroom · 1 bed · 2 shared baths,229497500,Yudong,,East Cambridge,42.37053,-71.08247,Private room,53,30,97,2023-06-30,1.59,23,270,2,
31207459,Home in Cambridge · ★4.47 · 1 bedroom · 1 bed · 2 shared baths,229497500,Yudong,,East Cambridge,42.36837011004825,-71.0811148545407,Private room,29,30,86,2023-09-18,1.42,23,269,4,
32055447,Rental unit in Cambridge · ★4.92 · 1 bedroom · 2 beds · 1 bath,93861,Jason & Dabney,,East Cambridge,42.37066,-71.08191,Entire home/apt,142,2,238,2023-12-10,4.06,1,0,48,STR-31805
32089082,Rental unit in Cambridge · 3 bedrooms · 1 bed · 1.5 shared baths,12576232,Thomas,,The Port,42.36944,-71.09753,Private room,60,91,0,,,6,177,0,
32089527,Rental unit in Cambridge · ★4.80 · 3 bedrooms · 1 bed · 1.5 baths,12576232,Thomas,,The Port,42.37045,-71.09717,Private room,75,93,5,2021-08-22,0.11,6,180,0,
32270808,Rental unit in Cambridge · ★4.77 · 1 bedroom · 1 bed · 1 bath,82946167,Yuan,,Agassiz,42.37892,-71.10865,Private room,60,60,13,2023-06-21,0.22,11,10,3,C0178550491
32286134,Home in Cambridge · ★4.98 · 1 bedroom · 1 bed · 1 shared bath,1182119,Paul,,Wellington-Harrington,42.36767,-71.09123,Private room,228,2,45,2023-10-22,0.76,1,69,3,STR-31824
32324379,Rental unit in Cambridge · 2 bedrooms · 2 beds · 2 baths,107434423,Blueground,,East Cambridge,42.36624,-71.084097,Entire home/apt,233,32,0,,,162,145,0,
32441363,Home in Cambridge · ★4.96 · 1 bedroom · 1 bed · 1 shared bath,519702802,Antonio,,North Cambridge,42.39328,-71.12981,Private room,88,1,311,2023-11-11,5.28,2,0,81,
32791973,Condo in Cambridge · 3 bedrooms · 5 beds · 1.5 baths,246448509,Emily,,Wellington-Harrington,42.37236,-71.08974,Entire home/apt,230,91,0,,,2,0,0,
33028188,Rental unit in Cambridge · Studio · 1 bed · 1 bath,107434423,Blueground,,Area 2/MIT,42.36288,-71.08784,Entire home/apt,115,32,2,2021-09-01,0.04,162,346,0,
33183552,Rental unit in Cambridge · 1 bedroom · 1 bed · 1 bath,107434423,Blueground,,Area 2/MIT,42.36288,-71.08784,Entire home/apt,309,32,0,,,162,247,0,
33325791,Serviced apartment in Cambridge · ★4.74 · 3 bedrooms · 4 beds · 2 baths,43450256,Steve,,East Cambridge,42.37048,-71.07871,Entire home/apt,212,4,178,2023-12-04,3.08,52,0,32,
